,Binomial,Leaf Relative water content (water content / water content at saturation),Leaf Water content (molar) per leaf dry mass (WCd),Leaf Water content saturating (molar) (WCs),Leaf Water content total (molar) (WCt),Leaf area index of the site (LAI),Leaf area: in case of compound leaves undefined if leaf or leaflet; undefined if petiole and rhachis in- or excluded,Leaf carbon content per area,Leaf carbon content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf carotenoid content per dry mass,Leaf chlorophyll a content per dry mass,Leaf chlorophyll a+b content per area,Leaf chlorophyll a/b ratio,Leaf chlorophyll b content per dry mass,Leaf chlorophyll content (a+b) per dry mass,Leaf compoundness,Leaf dry matter content per leaf water-saturated mass (LDMC),Leaf lamina thickness,"Leaf lifespan (longevity, retention time, LL)",Leaf nitrogen content per area (Narea),Leaf nitrogen content per dry mass (Nmass),Leaf petiole length,Leaf phenology type,Leaf phosphorus content per area (Parea),Leaf phosphorus content per dry mass (Pmass),Leaf position,Leaf respiration per area at leaf temperature,Leaf respiration per dry mass,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf thickness,Leaf tissue density,Leaf transpiration (molar) per dry mass,Leaf transpiration rate per dry mass (daytime),Leaf water content per leaf dry mass,"Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)",Leaf water content saturating,Leaf water content total,Leaf water saturation deficit
282,Carex rariflora,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
283,Carex remota,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
284,Carex spicata,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
285,Carex viridula,,,,,,01-Oct,,44.7727546,25.3573637,,,,,,,simple,,,,,2.051720794,,evergreen,,0.115313265,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
286,Catabrosa aquatica,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
287,Centaurium erythraea,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,evergreen,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
288,Centaurium tenuiflorum,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
289,Chrysosplenium oppositifolium,,,,,,01-Oct,,,,,,,,,,simple,,,,,,2.0,evergreen,,,,,,entire,rounded,length = width,truncate,petiolate,,,,,,,,,
290,Claytonia sibirica,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
291,Cochlearia officinalis,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,length = width,cordate,petiolate,,,,,,,,,
292,Cotoneaster cambricus,,,,,,01-Oct,,,,,,,,,,simple,,,,,,4.0,aestival,,,,,,entire,rounded,1-3 times as long as wide,,petiolate,,,,,,,,,
293,Cotoneaster simonsii,,,,,,01-Oct,,,,,,,,,,simple,,,,,,4.0,semi-evergreen,,,,,,entire,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
294,Crepis mollis,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,evergreen,,,,,,entire,rounded,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
295,Cruciata laevipes,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,evergreen,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
296,Erigeron acris,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,semi-evergreen,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
297,Euphorbia dulcis,,,,,,01-Oct,,,,,,,,,,simple,,,,,,1.5,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,subsessile,,,,,,,,,
298,Festuca filiformis,,,,,,01-Oct,,,,,,,,,,simple,,,,,0.698725,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
299,Festuca heterophylla,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
300,Galanthus nivalis,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
301,Galinsoga parviflora,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
302,Genista tinctoria,,,,,,01-Oct,,,,,,,,,4.414650098,simple,,,,,3.12,,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,subsessile,0.278,220.0,,,,,,,
303,Glyceria declinata,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
304,Goodyera repens,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,evergreen,,,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
305,Herminium monorchis,,,,,,01-Oct,,,,,,,,,,simple,,,02-Jun,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
306,Hordeum secalinum,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
307,Hypericum hirsutum,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,semi-evergreen,,,,,,entire,rounded,1-3 times as long as wide,,subsessile,,,,,,,,,
308,Hypericum maculatum,,,,,,01-Oct,,48.7,19.32539683,,,,,,,simple,,,,,2.52,,semi-evergreen,,,,,,entire,rounded,1-3 times as long as wide,truncate,sessile,,,,,,,,,
309,Hypericum montanum,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
310,Hypericum tetrapterum,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,aestival,,,,,,entire,rounded,1-3 times as long as wide,,sessile,,,,,,,,,
311,Hypericum undulatum,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,rounded,1-3 times as long as wide,,sessile,,,,,,,,,
312,Kickxia elatine,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,sagittate,petiolate,,,,,,,,,
313,Lagurus ovatus,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
314,Limonium bellidifolium,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
315,Limonium binervosum,,,,,,01-Oct,,,,,,,,,,simple,,0.2-0.5,,,,100.0,,,,,,,entire,mucronate,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
316,Liparis loeselii,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sheathing,,,,,,,,,
317,Lithospermum officinale,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sessile,,,,,,,,,
318,Lobelia dortmanna,,,,,,01-Oct,,,,,,,,,,simple,,,,,20-30,,evergreen,,01-Feb,submerged,,,entire,rounded,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
319,Lotus subbiflorus,,,,,,01-Oct,,,,,,,,,,compound,,,,,,,,,,,,,entire,pointed,length = width,cuneate,petiolate,,,,,,,,,
320,Luzula pilosa,,,,,,01-Oct,,46.6,34.26470588,,,,,,,simple,,<0.2,,,1.36,,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
321,Lysimachia nemorum,,,,,,01-Oct,,,,,,,,,,simple,,,,,,1.5,evergreen,,,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
322,Lysimachia nummularia,,,,,,01-Oct,,,,,,,,,,simple,,,,,,2.0,evergreen,,,,,,entire,rounded,length = width,truncate,petiolate,,,,,,,,,
323,Melampyrum cristatum,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,rounded,sessile,,,,,,,,,
324,Melampyrum pratense,,,,,,01-Oct,,44.2,17.82258065,,,,,,,simple,,,,,2.48,,aestival,,0.239,,,,entire,pointed,>3 times as long as wide,rounded,sessile,,,,,,,,,
325,Melica nutans,,,,,,01-Oct,,46.2,20.08695652,0.8,,,,,3.6,simple,,,,,2.3,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
326,Mertensia maritima,,,,,,01-Oct,,,,1.769230769,,,2.7,,8.0,simple,,,,,,,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
327,Moehringia trinervia,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,aestival,,,,,,entire,pointed,1-3 times as long as wide,parallel-sided,subsessile,,,,,,,,,
328,Muscari neglectum,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
329,Myosotis laxa,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,aestival,,,,,,entire,rounded,>3 times as long as wide,cuneate,sessile,,,,,,,,,
330,Myosotis scorpioides,,,,,,01-Oct,,,,,,,,,,simple,,,,,2.18,1.0,evergreen,,,,,,entire,rounded,>3 times as long as wide,cuneate,subsessile,,,,,,,,,
331,Myosotis secunda,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,evergreen,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
332,Narthecium ossifragum,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,aestival,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
333,Ophrys apifera,,,,,,01-Oct,,,,,,,,,,simple,,<0.2,02-Jun,,,,hibernal,,,,,,entire,pointed,>3 times as long as wide,cuneate,sheathing,,,,,,,,,
334,Ophrys insectifera,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,hibernal,,,,,,entire,pointed,>3 times as long as wide,cuneate,sheathing,,,,,,,,,
335,Origanum vulgare,,,,,,01-Oct,,,,,,,,,6.000413822,simple,,,4.08,,2.24,,semi-evergreen,,0.17,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,0.179,270.0,,,,,,,
336,Ornithopus perpusillus,,,,,,01-Oct,,,,,,,,,,compound,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sessile,,,,,,,,,
337,Ornithopus pinnatus,,,,,,01-Oct,,,,,,,,,,compound,,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
338,Pinguicula grandiflora,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
339,Poa chaixii,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
340,Polygonatum verticillatum,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
341,Polygonum boreale,,,,,,01-Oct,,,,,,,,,,simple,,,,,,6.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
342,Polygonum oxyspermum,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,cuneate,subsessile,,,,,,,,,
343,Potamogeton coloratus,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,evergreen,,,submerged,,,entire,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
344,Potamogeton epihydrus,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,submerged,,,entire,rounded,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
345,Potamogeton gramineus,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,aestival,,,submerged,,,entire,pointed,>3 times as long as wide,rounded,petiolate,,,,,,,,,
346,Potamogeton natans,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,semi-evergreen,,,submerged,,,entire,pointed,>3 times as long as wide,rounded,petiolate,,,,,,,,,
347,Potamogeton obtusifolius,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,submerged,,,entire,rounded,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
348,Primula scotica,,,,,,01-Oct,,,,,,,,,,simple,,0.2-0.5,02-Jun,,,,aestival,,,,,,entire,rounded,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
349,Pulicaria dysenterica,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,aestival,,,,,,entire,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
350,Pulicaria vulgaris,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,aestival,,,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
351,Ranunculus flammula,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,evergreen,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
352,Ranunculus ophioglossifolius,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
353,Reseda luteola,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,evergreen,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
354,Scilla verna,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
355,Scutellaria minor,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
356,Silene conica,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sessile,,,,,,,,,
357,Silene nutans,,,,,,01-Oct,,,,,,,,,,simple,,,36,,,,,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
358,Simethis mattiazzii,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
359,Sisyrinchium bermudiana,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,entire,,,,,,,,,,,,,
360,Spartina maritima,,,,,,01-Oct,,,,,,,,,,simple,,,,,2.42,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
361,Spiranthes romanzoffiana,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
362,Spiranthes spiralis,,,,,,01-Oct,,,,,,,,,,simple,,<0.2,06-Dec,,,,hibernal,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
363,Stellaria holostea,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,evergreen,,,,,,entire,pointed,>3 times as long as wide,rounded,sessile,,,,,,,,,
364,Stellaria neglecta,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,truncate,petiolate,,,,,,,,,
365,Stellaria pallida,,,,,,01-Oct,,,,,,,,,,simple,,,,,,5.0,,,,,,,entire,pointed,1-3 times as long as wide,truncate,petiolate,,,,,,,,,
366,Trifolium incarnatum,,,,,,01-Oct,,,,,,,,,,compound,,,,,,,,,,,,,entire,emarginate,1-3 times as long as wide,cuneate,,,,,,,,,,
367,Valerianella carinata,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,rounded,>3 times as long as wide,cuneate,sessile,,,,,,,,,
368,Valerianella eriocarpa,,,,,,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,rounded,>3 times as long as wide,cuneate,sessile,,,,,,,,,
369,Valerianella rimosa,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,entire,rounded,>3 times as long as wide,cuneate,sessile,,,,,,,,,
370,Vicia bithynica,,,,,,01-Oct,,,,,,,,,,compound,,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,rounded,subsessile,,,,,,,,,
371,Vinca minor,,,,,,01-Oct,,,,,,,,,,simple,,,,,,1.5,evergreen,,,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
372,Gentiana nivalis,,856.9411288,,,,<0.1,,,,,,,,,,simple,148.12,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,5.751282744,85.188,,,
373,Helianthemum nummularium,,819.5,,,2.318472147,<0.1,,43.8945,18.47389558,,,,,,,simple,153.8461539,,3.24,,2.49,,evergreen,,0.223,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,0.22,297.5495916,,,5.5,84.61538462,,,
374,Sagina nodosa,,761.3684243,,,1.585555553,<0.1,,,,,,,,,,simple,163.67,,18,,,,evergreen,,,,,,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,,,,5.109855196,83.633,,,
375,Aira caryophyllea,,,,,1.392500043,<0.1,,40.25,77.40384615,,,,,,,simple,242.063492,,,,0.52,,hibernal,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.0725,629.0959285,,,3.131147542,75.7936508,,,
376,Asperula cynanchica,,424.0769231,,,1.983611107,<0.1,,,,,,,,,,simple,260.0,,,,Oct-20,0.0,,,01-Feb,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,2.846153846,74.0,,,
377,Helianthemum oelandicum,,309.4192228,,,1.736805558,<0.1,,16.54,,,,,,,,simple,325.03,,,,,,evergreen,,,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,0.328,280.9935934,,,2.07663908,67.497,,,
378,Genista pilosa,,250.8396865,,,2.273680568,<0.1,,,,,,,,,,simple,384.01,,,,,,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,subsessile,,,,,1.683487829,61.599,,,
379,Calluna vulgaris,,227.4590557,,,1.645277739,<0.1,,52.23017828,35.80307485,,,,,,2.6,simple,395.7970307,<0.2,>24,,1.38,,evergreen,,0.097,,,,entire,rounded,>3 times as long as wide,parallel-sided,,,,,,1.526570844,60.42029693,,,
380,Erica cinerea,,223.1659854,,,0.966388881,<0.1,,,,,,,,,,simple,400.3915163,,>24,,1.42,1.0,evergreen,,0.09,,,,entire,pointed,>3 times as long as wide,parallel-sided,petiolate,,,,,1.497758292,59.96084837,,,
381,Erica tetralix,,203.5959582,,,1.80250001,<0.1,,56.02325334,47.78343525,,,,,,,simple,422.58,,Dec-24,,Oct-20,1.0,evergreen,,2.82E-02,,,,entire,pointed,>3 times as long as wide,parallel-sided,petiolate,,,,,1.366415827,57.742,,,
382,Crassula tillaea,,,,,0.964166641,<0.1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,rounded,connate,,,,,,,,,
383,Mibora minima,,,,,0.964166641,<0.1,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
384,Scleranthus annuus,,,,,0.964166641,<0.1,,,,,,,,,,simple,,,,,,,aestival,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,connate,,,,,,,,,
385,Spergula arvensis,,,,,0.964166641,<0.1,,,,,,,,,,simple,,,,,2.96,,aestival,,,,,,entire,rounded,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
386,Thymus serpyllum,,,,,1.11833334,<0.1,,,,,,,,,5.4,simple,,,36,,,,evergreen,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,0.2336,,,,,,,,
387,Sagina procumbens,,,,,1.212361097,<0.1,,45.03525,28.22950235,,,,,,,simple,,,,,1.673,0.0,evergreen,,0.2226,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
388,Silene acaulis,,,,,1.263333321,<0.1,,,,0.647058824,,,3.5,,2.944117647,simple,,,,,,0.0,,,,,,15.7825,entire,pointed,>3 times as long as wide,parallel-sided,sessile,0.336,,,,,,,,
389,Arenaria ciliata,,,,,,<0.1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,parallel-sided,sessile,,,,,,,,,
390,Cicendia filiformis,,,,,,<0.1,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
391,Crassula aquatica,,,,,,<0.1,,,,,,,,,,simple,,,,,,,,,,,,,entire,,,,,,,,,,,,,
392,Daboecia cantabrica,,,,,,<0.1,,,,,,,,,,simple,,,>24,,,,evergreen,,,,,,entire,pointed,1-3 times as long as wide,cuneate,subsessile,,,,,,,,,
393,Erica ciliaris,,,,,,<0.1,,,,,,,,,,simple,,,,,,1.0,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,petiolate,,,,,,,,,
394,Erica erigena,,,,,,<0.1,,,,,,,,,,simple,,,Dec-24,,,1.0,semi-evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,petiolate,,,,,,,,,
395,Erica vagans,,,,,,<0.1,,,,,,,,,,simple,,,,,,1.0,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,petiolate,,,,,,,,,
396,Frankenia laevis,,,,,,<0.1,,,,,,,,,,simple,,,>24,,,,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
397,Minuartia recurva,,,,,,<0.1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
398,Najas flexilis,,,,,,<0.1,,,,,,,,,,simple,,0.5-1.0,0-2,,,,aestival,,,submerged,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
399,Sagina apetala,,,,,,<0.1,,,,,,,,,,simple,,,,,,,hibernal,,,,,,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
400,Sagina maritima,,,,,,<0.1,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
401,Sagina nivalis,,,,,,<0.1,,,,1.037037037,,,4.0,,3.296296296,simple,,,,,,0.0,,,,,,,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
402,Sagina saginoides,,,,,,<0.1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
403,Sagina subulata,,,,,,<0.1,,,,,,,,,,simple,,,,,,,,,,,,,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
404,Vaccinium microcarpum,,,,,,<0.1,,,,,,,,,,simple,,,,,,,evergreen,,,,,,entire,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
405,Nymphaea alba,,,,,,>1000,,,,,,,,,,simple,,,,,,1500.0,,,,floating,,,entire,rounded,length = width,cordate,petiolate,,,,,,,,,
406,Phormium tenax,,,,,,>1000,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
407,Sedum album,,2848.987928,,,2.561944425,0.1-1,,,,,,,,,,simple,49.7,,36,,,0.0,evergreen,,,,,,entire,rounded,1-3 times as long as wide,,sessile,,,,,19.12072435,95.03,,,
408,Montia fontana,,2279.292047,,,2.799444437,0.1-1,,,,,,,,,,simple,61.36,,,,,,evergreen,,,floating,,,entire,rounded,1-3 times as long as wide,cuneate,connate,,,,,15.29726206,93.864,,,
409,Portulaca oleracea,,1279.845416,,,1.359861136,0.1-1,,36.1615,18.21607787,,,,,,,simple,104.28,,,,2.244,0.0,,,0.045,,,,entire,rounded,1-3 times as long as wide,cuneate,sessile,0.55,380.0,,,8.589566552,89.572,,,
410,Salsola kali,,1264.125948,,,0.433472216,0.1-1,,,,,,,,,,simple,105.44,,,,20-30,,,,02-Mar,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,8.484066768,89.456,,,
411,Chaenorhinum minus,,1245.608761,,,2.013333321,0.1-1,,,,,,,,,,simple,106.84,,,,,,aestival,,,,,,entire,rounded,>3 times as long as wide,cuneate,petiolate,,,,,8.359790341,89.316,,,
412,Stellaria aquatica,,1079.460714,,,1.562916637,0.1-1,,,,,,,,,,simple,121.29,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,cordate,petiolate,,,,,7.244702779,87.871,,,
413,Spergularia media,,1073.982216,,,1.337777734,0.1-1,,,,,,,,,,simple,121.8333333,,,,,,,,,,,,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,,,,7.207934337,87.81666667,,,
414,Cerastium glomeratum,,1037.326868,,,1.632500053,0.1-1,,42.72,21.29176621,,,,,,,simple,125.6544503,,,,2.028,,hibernal,,0.2379,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,6.958333333,87.43455497,,,
415,Suaeda maritima,,996.3209245,,,,0.1-1,,,,,,,,,,simple,130.1190476,,,,1.749688889,,,,,,,,entire,pointed,>3 times as long as wide,truncate,sessile,,,,,6.686717615,86.98809524,,,
416,Illecebrum verticillatum,,894.9290969,,,1.810694456,0.1-1,,,,,,,,,,simple,142.73,,,,,0.0,,,,,,,entire,rounded,1-3 times as long as wide,,sessile,,,,,6.00623555,85.727,,,
417,Corrigiola litoralis,,868.1843025,,,1.754097223,0.1-1,,,,,,,,,,simple,146.53,,,,,,,,,,,,entire,rounded,>3 times as long as wide,cuneate,subsessile,,,,,5.826740285,85.347,,,
418,Veronica scutellata,,766.0647915,,,1.510972261,0.1-1,,,,,,,,,,simple,162.83,,,,,,evergreen,,,,,,entire,pointed,>3 times as long as wide,rounded,sessile,,,,,5.14137444,83.717,,,
419,Drosera intermedia,,687.796596,,,1.830694437,0.1-1,,,,,,,,,,simple,178.06,,02-Jun,,,32.5,aestival,,,,,,entire,rounded,>3 times as long as wide,cuneate,petiolate,,,,,4.616084537,82.194,,,
420,Linaria purpurea,,682.0888889,,,1.559305549,0.1-1,,48.12818333,24.3348247,,,,,,,simple,179.8423692,,,,1.977749333,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,4.577777778,82.01576308,,,
421,Centaurium pulchellum,,677.3087844,,,1.58375001,0.1-1,,,,,,,,,,simple,180.32,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,4.54569654,81.968,,,
422,Astragalus alpinus,,674.1134681,,,,0.1-1,,51.27895762,13.22850006,2.1,,,,,8.2,compound,181.02,,,,3.8764,,,,0.392,,,,entire,pointed,>3 times as long as wide,rounded,petiolate,0.213,139.3010157,,,4.524251464,81.898,,,
